,Bernoulli,Multinomial,Binarized Multinomial,Colored Bernoulli,Colored Multinomial,Colored B. Multinomial,Bigram Bernoulli,Bigram Multinomial,Bigram B. Multinomial
0,0.83,0.82,0.8411111111111111,0.9238888888888889,0.9283333333333333,0.945,0.9033333333333333,0.9033333333333333,0.9238888888888889
1,0.8227777777777778,0.815,0.8366666666666667,0.9238888888888889,0.93,0.9444444444444444,0.9011111111111111,0.9061111111111111,0.9244444444444444
2,0.8222222222222222,0.8072222222222222,0.8344444444444444,0.9233333333333333,0.9216666666666666,0.9338888888888889,0.9088888888888889,0.9016666666666666,0.9266666666666666
3,0.8344444444444444,0.8377777777777777,0.8555555555555555,0.9177777777777778,0.9322222222222222,0.9383333333333334,0.8977777777777778,0.9,0.9222222222222223
4,0.8272222222222222,0.8238888888888889,0.8416666666666667,0.9227777777777778,0.9211111111111111,0.9388888888888889,0.9038888888888889,0.8988888888888888,0.9227777777777778
5,0.8316666666666667,0.8294444444444444,0.8438888888888889,0.92,0.9338888888888889,0.9488888888888889,0.8966666666666666,0.9027777777777778,0.92
6,0.83,0.8211111111111111,0.8472222222222222,0.92,0.9305555555555556,0.9422222222222222,0.9011111111111111,0.8961111111111111,0.9188888888888889
7,0.8211111111111111,0.8061111111111111,0.8355555555555556,0.9222222222222223,0.9272222222222222,0.9377777777777778,0.9033333333333333,0.9027777777777778,0.925
8,0.8244444444444444,0.8316666666666667,0.8516666666666667,0.9283333333333333,0.9333333333333333,0.9422222222222222,0.8972222222222223,0.9022222222222223,0.9261111111111111
9,0.8166666666666667,0.8238888888888889,0.835,0.9188888888888889,0.9244444444444444,0.9377777777777778,0.9105555555555556,0.9055555555555556,0.9233333333333333
